// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).

//Hot
0,15204,100
0,28921,100
0,15249,100
0,28430,100
0,28429,100
0,5898,100
0,5899,100
0,28531,100
0,28618,100
0,28513,100
0,20813,100
0,5933,100
0,19125,100
0,22138,100
0,19329,100
0,28573,100
0,20800,100
0,22134,100
0,28438,100
0,15175,100
0,22172,100
0,15205,100
0,28501,100
0,28503,100
0,28394,100
0,28433,100
0,18720,100
0,15283,100
0,28502,100
0,5938,100
0,28565,100
0,20859,100
0,22189,100
0,22104,100
0,28484,100
0,19115,100
0,15166,100
0,5907,100
0,19138,100
0,19327,100
0,28379,100
0,28485,100
0,18793,100
0,28506,100
0,19137,100
0,19020,100
0,22170,100
0,28594,100
0,19112,100
0,28492,100
0,28564,100
0,28717,100
0,16051,100
0,20814,100
0,19306,100
0,5918,100
0,18823,100
0,28372,100
0,28551,100
0,2153,100
0,19116,100
0,18652,100
0,15145,100
0,5497,100
0,18856,60
0,5464,100
0,18791,100
0,18908,100
0,18563,100
0,18813,100
0,2576,100
0,19156,100
0,20797,100

// Consumable
6,14160,20
6,14159,20
6,14161,20
6,14162,20
6,14163,20
6,14164,20
6,12424,1
6,12427,1
6,12429,1
6,12430,1
6,12431,1
6,12432,1
6,12433,1
6,12434,1
6,14111,15
6,14075,15

// Hot
1,12208,2
1,14156,18
1,12210,2
1,14158,18
1,14165,5
1,14178,20
1,17106,100

//Other
7,12920,85
7,12921,85
7,16396,40
7,16394,40
7,7620,10
7,7619,10
7,6226,5
7,6225,5
7,6240,5
7,6241,5
7,6635,5

//Equipment
4,5388,50
4,5286,50
4,5592,50
4,5470,50
4,5389,50
4,5403,30
4,5254,50
4,5564,50
4,5367,30
4,5325,40
4,2202,100
4,2204,100
4,5305,50
4,5137,60
4,5359,50
4,5211,50


//Costume
2,18741,50
2,18742,50
2,18743,50
2,18744,50
2,19158,50
2,19275,50
2,19288,50
2,19289,50
2,19290,50
2,19291,50
2,19292,50
2,19293,50
2,19294,50
2,19524,50
2,19525,50
2,19526,50
2,19527,50
2,19528,50
2,19529,50
2,19530,50
2,19531,50
2,19532,50
2,19533,50
2,19534,50
2,19535,50
